0,1620500287.402967,1620500287.404030
1,1620500287.540951,1620500287.541610
2,1620500287.672637,1620500287.673241
3,1620500287.808567,1620500287.809150
4,1620500287.940555,1620500287.941142
5,1620500288.080746,1620500288.081443
6,1620500288.204719,1620500288.205370
7,1620500288.332506,1620500288.332989
8,1620500288.468551,1620500288.469041
9,1620500288.600458,1620500288.600938
10,1620500288.732587,1620500288.733151
11,1620500288.868752,1620500288.869252
12,1620500288.998872,1620500288.999347
13,1620500289.130813,1620500289.131414
14,1620500289.272799,1620500289.273477
15,1620500289.404654,1620500289.405132
16,1620500289.536522,1620500289.536988
17,1620500289.668686,1620500289.669206
18,1620500289.800620,1620500289.801079
19,1620500289.940678,1620500289.941193
20,1620500290.076717,1620500290.077293
21,1620500290.208642,1620500290.209164
22,1620500290.356660,1620500290.357198
23,1620500290.488493,1620500290.488984
24,1620500290.628586,1620500290.629091
25,1620500290.776577,1620500290.777079
26,1620500290.928549,1620500290.929034
27,1620500291.060621,1620500291.061173
28,1620500291.200670,1620500291.201188
29,1620500291.340698,1620500291.341417
30,1620500291.480747,1620500291.481264
31,1620500291.616607,1620500291.617119
32,1620500291.764605,1620500291.765113
33,1620500291.896611,1620500291.897107
34,1620500292.028663,1620500292.029144
35,1620500292.160596,1620500292.161126
36,1620500292.288653,1620500292.289109
37,1620500292.420544,1620500292.420983
38,1620500292.560525,1620500292.560993
39,1620500292.704712,1620500292.705217
40,1620500292.848517,1620500292.848976
41,1620500292.988563,1620500292.989002
42,1620500293.124642,1620500293.125244
43,1620500293.256619,1620500293.257145
44,1620500293.400852,1620500293.401628
45,1620500293.536605,1620500293.537198
46,1620500293.672651,1620500293.673325
47,1620500293.808532,1620500293.809101
48,1620500293.936818,1620500293.937419
49,1620500294.072583,1620500294.073178
50,1620500294.200609,1620500294.201152
51,1620500294.332647,1620500294.333168
52,1620500294.460594,1620500294.461107
53,1620500294.596632,1620500294.597142
54,1620500294.732671,1620500294.733224
55,1620500294.860627,1620500294.861165
56,1620500294.992588,1620500294.993069
57,1620500295.128619,1620500295.129202
58,1620500295.256602,1620500295.257112
59,1620500295.384592,1620500295.385106
60,1620500295.532982,1620500295.533710
61,1620500295.660650,1620500295.661228
62,1620500295.804595,1620500295.805132
63,1620500295.932488,1620500295.933010
64,1620500296.076600,1620500296.077222
65,1620500296.204582,1620500296.205067
66,1620500296.336615,1620500296.337086
67,1620500296.460705,1620500296.461175
68,1620500296.596545,1620500296.597235
69,1620500296.724576,1620500296.725220
70,1620500296.856523,1620500296.857010
71,1620500296.996490,1620500296.997126
72,1620500297.132645,1620500297.133287
73,1620500297.260758,1620500297.261284
74,1620500297.408633,1620500297.409185
75,1620500297.541305,1620500297.541997
76,1620500297.672622,1620500297.673290
77,1620500297.816597,1620500297.817274
78,1620500297.940571,1620500297.941199
79,1620500298.072664,1620500298.073367
80,1620500298.200701,1620500298.201371
81,1620500298.340646,1620500298.341245
82,1620500298.476468,1620500298.476982
83,1620500298.604525,1620500298.605077
84,1620500298.740813,1620500298.741477
85,1620500298.876581,1620500298.877115
86,1620500299.000641,1620500299.001205
87,1620500299.136468,1620500299.137141
88,1620500299.272540,1620500299.273092
89,1620500299.400573,1620500299.401059
90,1620500299.540684,1620500299.541403
91,1620500299.680685,1620500299.681405
92,1620500299.812803,1620500299.813355
93,1620500299.948549,1620500299.949057
94,1620500300.092559,1620500300.093233
95,1620500300.224702,1620500300.225343
96,1620500300.352528,1620500300.353096
97,1620500300.484534,1620500300.485122
98,1620500300.620678,1620500300.621201
99,1620500300.748727,1620500300.749237
100,1620500300.880680,1620500300.881200
101,1620500301.016647,1620500301.017165
102,1620500301.140831,1620500301.141472
103,1620500301.276545,1620500301.277101
104,1620500301.404593,1620500301.405124
105,1620500301.544715,1620500301.545215
106,1620500301.684862,1620500301.685566
107,1620500301.824757,1620500301.825335
108,1620500301.964676,1620500301.965203
109,1620500302.096566,1620500302.097197
110,1620500302.228615,1620500302.229134
111,1620500302.360724,1620500302.361188
112,1620500302.492578,1620500302.493079
113,1620500302.636492,1620500302.637052
114,1620500302.780729,1620500302.781292
115,1620500302.920715,1620500302.921180
116,1620500303.048691,1620500303.049202
117,1620500303.180553,1620500303.181070
118,1620500303.312594,1620500303.313066
119,1620500303.452458,1620500303.452878
120,1620500303.592478,1620500303.593049
121,1620500303.748640,1620500303.749335
122,1620500303.900629,1620500303.901198
123,1620500304.040496,1620500304.041085
124,1620500304.184738,1620500304.185279
125,1620500304.320612,1620500304.321117
126,1620500304.452592,1620500304.453033
127,1620500304.588694,1620500304.589290
128,1620500304.724817,1620500304.725409
129,1620500304.856876,1620500304.857402
130,1620500304.984619,1620500304.985175
131,1620500305.120463,1620500305.121061
132,1620500305.260537,1620500305.261024
133,1620500305.404528,1620500305.404987
134,1620500305.536414,1620500305.536919
135,1620500305.676491,1620500305.676969
136,1620500305.832674,1620500305.833297
137,1620500305.964626,1620500305.965176
138,1620500306.104716,1620500306.105270
139,1620500306.236800,1620500306.237253
140,1620500306.368611,1620500306.369056
141,1620500306.508463,1620500306.508924
142,1620500306.648585,1620500306.649087
143,1620500306.784627,1620500306.785143
144,1620500306.916463,1620500306.916913
145,1620500307.056564,1620500307.057037
146,1620500307.196482,1620500307.196984
147,1620500307.336582,1620500307.337051
148,1620500307.476490,1620500307.477038
149,1620500307.612428,1620500307.612984
150,1620500307.744572,1620500307.745170
151,1620500307.881087,1620500307.881878
152,1620500308.016663,1620500308.017314
153,1620500308.156837,1620500308.158033
154,1620500308.288568,1620500308.289113
